
NAME, DESCRIPTION
name, the name of the participant
age, its age
order_tickets_online, how often does the participant order cinema tickets online (3 levels: never | rarely | often)
cinemaxx_1st, wether they started with the cinemaxx or nfbio website (binary: 1 -> cinemaxx | 0 -> nfbio)
session, which session the datapoint belongs to (2 levels)
website, which website was being explored (2 categories: cinemaxx | nfbio)
timestep, the eyetracker saves series of frames, this indicates the number of the frame starting from the beginning of the capture (by session and within participant)
time, time from beginning of the experiment by participant and session (in ms)
tp, time from beginning of the experiment at the next step (basically, t+1, in ms)
timegap, amount of time between this time step and the previous one (t - (t-1) | in ms)
x, horizontal position of the gaze on the screen (in pixels)
y, vertical position of the gaze on the screen (in pixels)
xp, horizontal position of the gaze on the screen at time t+1 (in pixels)
yp, vertical position of the gaze on the screen at time t+1 (in pixels)
velocity, the velocity of eye movement between t and t+1 (in pxl/ms)
event, wether the movement has been categorised as a saccade or a fixation based on velocity at this timestep (2 categories: fixation | saccade)
event_n, list the events in the order they appeared (by session within participant) /!\ CAREFUL /!\\, lists of saccades and fixations are independent but in the same column!
event_d, the duration of the event (by event_n) (in ms)
center_mean, mean velocity of the current participant for the corresponding type of event
pdl, pupil dilation of the left eye (in mm)
pdr, pupil dilation of the right eye (in mm)
mouse_x, mouse horizontal position at the current timestep (in pixels)
mouse_y, mouse vertical position at the current timestep (in pixels)
